,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Status,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Unit Code,Operating Month,Operating Year,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Multiple Fuels,Deliver Power to Transmission Grid,Synchronized to Transmission Grid,Ownership,Turbines,Cogenerator,Sector Name,Sector,Topping or Bottoming,Duct Burners,Planned Modifications,Planned Uprates Net Summer Capacity,Planned Uprates Net Winter Capacity,Planned Uprate Month,Planned Uprate Year,Planned Derates Net Summer Capacity,Planned Derates Net Winter Capacity,Planned Derates Month,Planned Derates Year,Planned New Prime Mover,Planned Energy Source 1,Planned Repower Month,Planned Repower Year,Other Modifications,Other Modifications Month,Other Modifications Year,Planned Retirement Month,Planned Retirement Year,Solid Fuel Gasification System,Pulverized Coal Technology,Fluidized Bed Technology,Subcritical Technology,Supercritical Technology,Ultrasupercritical Technology,Carbon Capture Technology,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Transmission or Distribution System Owner,Primary Purpose (NAICS Code),Latitude,Longitude
17844,56918,University of California San Diego,57584,University of California San Diego,CA,San Diego,STG,CA,OP,3.0,3.0,3.0,,7,2001,NG,,,,,,N,N,,S,,N,Commercial Non-CHP,4,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Diego Gas & Electric Co,611,32.8747,-117.2392
17853,56927,Wallingford Energy LLC,55517,Wallingford Energy,CT,New Haven,CTG1,GT,OP,50.0,42.3,48.4,,10,2001,NG,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Wallingford Town of,22,41.448694,-72.835364
17854,56927,Wallingford Energy LLC,55517,Wallingford Energy,CT,New Haven,CTG2,GT,OP,50.0,42.3,48.2,,9,2001,NG,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Wallingford Town of,22,41.448694,-72.835364
17855,56927,Wallingford Energy LLC,55517,Wallingford Energy,CT,New Haven,CTG3,GT,OP,50.0,42.3,47.8,,8,2001,NG,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Wallingford Town of,22,41.448694,-72.835364
17856,56927,Wallingford Energy LLC,55517,Wallingford Energy,CT,New Haven,CTG4,GT,OP,50.0,42.3,49.0,,8,2001,NG,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Wallingford Town of,22,41.448694,-72.835364
17857,56927,Wallingford Energy LLC,55517,Wallingford Energy,CT,New Haven,CTG5,GT,OP,50.0,42.3,49.0,,8,2001,NG,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Wallingford Town of,22,41.448694,-72.835364
17858,56928,LSP University Park LLC,55640,University Park North,IL,Will,1,GT,OP,45.0,42.0,45.0,,6,2002,NG,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Commonwealth Edison Co,22,41.4425,-87.7514
17859,56928,LSP University Park LLC,55640,University Park North,IL,Will,10,GT,OP,45.0,42.0,45.0,,7,2002,NG,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Commonwealth Edison Co,22,41.4425,-87.7514
17860,56928,LSP University Park LLC,55640,University Park North,IL,Will,11,GT,OP,45.0,42.0,45.0,,7,2002,NG,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Commonwealth Edison Co,22,41.4425,-87.7514
17861,56928,LSP University Park LLC,55640,University Park North,IL,Will,12,GT,OP,45.0,42.0,45.0,,7,2002,NG,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Commonwealth Edison Co,22,41.4425,-87.7514
