,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Status,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Unit Code,Operating Month,Operating Year,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Multiple Fuels,Deliver Power to Transmission Grid,Synchronized to Transmission Grid,Ownership,Turbines,Cogenerator,Sector Name,Sector,Topping or Bottoming,Duct Burners,Planned Modifications,Planned Uprates Net Summer Capacity,Planned Uprates Net Winter Capacity,Planned Uprate Month,Planned Uprate Year,Planned Derates Net Summer Capacity,Planned Derates Net Winter Capacity,Planned Derates Month,Planned Derates Year,Planned New Prime Mover,Planned Energy Source 1,Planned Repower Month,Planned Repower Year,Other Modifications,Other Modifications Month,Other Modifications Year,Planned Retirement Month,Planned Retirement Year,Solid Fuel Gasification System,Pulverized Coal Technology,Fluidized Bed Technology,Subcritical Technology,Supercritical Technology,Ultrasupercritical Technology,Carbon Capture Technology,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Transmission or Distribution System Owner,Primary Purpose (NAICS Code),Latitude,Longitude
12770,20447,"Western Farmers Elec Coop, Inc",6772,Hugo,OK,Choctaw,1,ST,OP,446.0,440.0,440.0,,4,1982,SUB,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,DFO,,,,"Western Farmers Elec Coop, Inc",22,34.0158,-95.3206
12839,20737,Willmar Municipal Utilities,2022,Willmar,MN,Kandiyohi,3,ST,OP,18.0,15.9,15.9,,11,1970,SUB,NG,AB,,,,Y,Y,,S,,Y,Electric Utility,1,B,N,Y,0.0,7.4,12.0,2016.0,,,,,,,,,,,,,,N,,,Y,,,,NG,,,,Willmar Municipal Utilities,22,45.121705,-95.053236
12877,20847,Wisconsin Electric Power Co,1769,Presque Isle,MI,Marquette,7,ST,OP,90.0,78.0,78.0,,6,1978,SUB,,,,,,N,Y,,S,,N,Electric Utility,1,,,Y,,,,,,,,,,,,,,,,1.0,2017.0,N,Y,,Y,,,,DFO,,,,American Transmission Co,22,46.5789,-87.395
12878,20847,Wisconsin Electric Power Co,1769,Presque Isle,MI,Marquette,8,ST,OP,90.0,78.0,78.0,,11,1978,SUB,,,,,,N,Y,,S,,N,Electric Utility,1,,,Y,,,,,,,,,,,,,,,,1.0,2017.0,N,Y,,Y,,,,DFO,,,,American Transmission Co,22,46.5789,-87.395
12879,20847,Wisconsin Electric Power Co,1769,Presque Isle,MI,Marquette,9,ST,OP,90.0,78.0,78.0,,8,1979,SUB,,,,,,N,Y,,S,,N,Electric Utility,1,,,Y,,,,,,,,,,,,,,,,1.0,2017.0,N,Y,,Y,,,,DFO,,,,American Transmission Co,22,46.5789,-87.395
12909,20847,Wisconsin Electric Power Co,4041,South Oak Creek,WI,Milwaukee,5,ST,OP,299.2,214.0,214.0,,12,1959,SUB,,,,,,N,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,N,,,,,N,Y,,Y,,,,NG,PG,,,American Transmission Co,22,42.8457,-87.8294
12910,20847,Wisconsin Electric Power Co,4041,South Oak Creek,WI,Milwaukee,6,ST,OP,299.2,224.0,224.0,,12,1961,SUB,,,,,,N,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,N,,,,,N,Y,,Y,,,,NG,PG,,,American Transmission Co,22,42.8457,-87.8294
12911,20847,Wisconsin Electric Power Co,4041,South Oak Creek,WI,Milwaukee,7,ST,OP,317.6,269.0,269.0,,3,1965,SUB,,,,,,N,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,N,,,,,N,Y,,Y,N,,,NG,PG,,,American Transmission Co,22,42.8457,-87.8294
12912,20847,Wisconsin Electric Power Co,4041,South Oak Creek,WI,Milwaukee,8,ST,OP,324.0,269.0,269.0,,10,1967,SUB,,,,,,N,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,N,,,,,N,Y,,Y,N,,,NG,PG,,,American Transmission Co,22,42.8457,-87.8294
12921,20847,Wisconsin Electric Power Co,6170,Pleasant Prairie,WI,Kenosha,1,ST,OP,616.6,594.0,594.0,,6,1980,SUB,,,,,,N,Y,,S,,N,Electric Utility,1,,,N,,,,,,,,,,,,,,,,,,N,Y,,Y,N,,,NG,,,,American Transmission Co,22,42.5381,-87.9033
