,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Status,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Unit Code,Operating Month,Operating Year,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Multiple Fuels,Deliver Power to Transmission Grid,Synchronized to Transmission Grid,Ownership,Turbines,Cogenerator,Sector Name,Sector,Topping or Bottoming,Duct Burners,Planned Modifications,Planned Uprates Net Summer Capacity,Planned Uprates Net Winter Capacity,Planned Uprate Month,Planned Uprate Year,Planned Derates Net Summer Capacity,Planned Derates Net Winter Capacity,Planned Derates Month,Planned Derates Year,Planned New Prime Mover,Planned Energy Source 1,Planned Repower Month,Planned Repower Year,Other Modifications,Other Modifications Month,Other Modifications Year,Planned Retirement Month,Planned Retirement Year,Solid Fuel Gasification System,Pulverized Coal Technology,Fluidized Bed Technology,Subcritical Technology,Supercritical Technology,Ultrasupercritical Technology,Carbon Capture Technology,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Transmission or Distribution System Owner,Primary Purpose (NAICS Code),Latitude,Longitude
8118,14015,Ohio Valley Electric Corp,2876,Kyger Creek,OH,Gallia,1,ST,OP,217.3,194.0,198.7,,2,1955,BIT,SUB,,,,,Y,Y,,S,,N,Electric Utility,1,,,,,,,,,,,,,,,,N,,,,,N,Y,,Y,,,,DFO,,,,Ohio Valley Electric Corp,22,38.9144,-82.1289
8119,14015,Ohio Valley Electric Corp,2876,Kyger Creek,OH,Gallia,2,ST,OP,217.3,192.2,198.0,,6,1955,BIT,SUB,,,,,Y,Y,,S,,N,Electric Utility,1,,,,,,,,,,,,,,,,N,,,,,N,Y,,Y,,,,DFO,,,,Ohio Valley Electric Corp,22,38.9144,-82.1289
8120,14015,Ohio Valley Electric Corp,2876,Kyger Creek,OH,Gallia,3,ST,OP,217.3,192.2,198.0,,9,1955,BIT,SUB,,,,,Y,Y,,S,,N,Electric Utility,1,,,,,,,,,,,,,,,,N,,,,,N,Y,,Y,,,,DFO,,,,Ohio Valley Electric Corp,22,38.9144,-82.1289
8121,14015,Ohio Valley Electric Corp,2876,Kyger Creek,OH,Gallia,4,ST,OP,217.3,192.2,198.0,,11,1955,BIT,SUB,,,,,Y,Y,,S,,N,Electric Utility,1,,,,,,,,,,,,,,,,N,,,,,N,Y,,Y,,,,DFO,,,,Ohio Valley Electric Corp,22,38.9144,-82.1289
8122,14015,Ohio Valley Electric Corp,2876,Kyger Creek,OH,Gallia,5,ST,OP,217.3,192.2,198.0,,12,1955,BIT,SUB,,,,,Y,Y,,S,,N,Electric Utility,1,,,,,,,,,,,,,,,,N,,,,,N,Y,,Y,,,,DFO,,,,Ohio Valley Electric Corp,22,38.9144,-82.1289
8206,14165,NRG Power Midwest LP,2836,Avon Lake,OH,Lorain,7,ST,OP,86.0,70.0,70.0,,1,1949,BIT,DFO,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,Y,,,,,,,,,,,,,,,,,,N,Y,,,,,,DFO,,,,Cleveland Electric Illum Co,22,41.504453000000005,-82.05461899999999
8207,14165,NRG Power Midwest LP,2836,Avon Lake,OH,Lorain,9,ST,OP,680.0,640.0,640.0,,1,1970,BIT,DFO,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,Y,,,,,,,,,,,,,,,,,,N,Y,,,Y,,,DFO,,,,Cleveland Electric Illum Co,22,41.504453000000005,-82.05461899999999
8216,14165,NRG Power Midwest LP,3098,Elrama Power Plant,PA,Washington,1,ST,OS,100.0,93.0,93.0,,4,1952,BIT,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,Y,,,,,,,,,,,,,,,,3.0,2014.0,N,Y,,,,,,DFO,,,,Duquesne Light Co,22,40.251829,-79.918022
8217,14165,NRG Power Midwest LP,3098,Elrama Power Plant,PA,Washington,2,ST,OS,100.0,93.0,93.0,,1,1953,BIT,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,Y,,,,,,,,,,,,,,,,3.0,2014.0,N,Y,,,,,,DFO,,,,Duquesne Light Co,22,40.251829,-79.918022
8218,14165,NRG Power Midwest LP,3098,Elrama Power Plant,PA,Washington,3,ST,OS,125.0,103.0,103.0,,9,1954,BIT,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,Y,,,,,,,,,,,,,,,,3.0,2014.0,N,Y,,,,,,DFO,,,,Duquesne Light Co,22,40.251829,-79.918022
8219,14165,NRG Power Midwest LP,3098,Elrama Power Plant,PA,Washington,4,ST,OS,185.0,171.0,171.0,,10,1960,BIT,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,Y,,,,,,,,,,,,,,,,3.0,2014.0,N,Y,,,,,,DFO,,,,Duquesne Light Co,22,40.251829,-79.918022
8220,14165,NRG Power Midwest LP,3138,New Castle Plant,PA,Lawrence,3,ST,OP,98.0,88.0,93.0,,9,1952,BIT,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,Y,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,DFO,,,,Duquesne Light Co,22,40.937939,-80.369007
8221,14165,NRG Power Midwest LP,3138,New Castle Plant,PA,Lawrence,4,ST,OP,114.0,87.0,92.0,,8,1958,BIT,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,Y,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,DFO,,,,Duquesne Light Co,22,40.937939,-80.369007
8222,14165,NRG Power Midwest LP,3138,New Castle Plant,PA,Lawrence,5,ST,OP,136.0,130.0,135.0,,6,1964,BIT,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,Y,,,,,,,,,,,,,,,,,,N,Y,,Y,,,,DFO,,,,Duquesne Light Co,22,40.937939,-80.369007
8225,14165,NRG Power Midwest LP,8226,Cheswick Power Plant,PA,Allegheny,1,ST,OP,637.0,563.0,563.0,,6,1970,BIT,SUB,,,,,Y,Y,,S,,N,IPP Non-CHP,2,,,N,,,,,,,,,,,,,N,,,,,N,Y,,Y,,,,NG,,,,Duquesne Light Co,22,40.5383,-79.7906
8246,14194,City of Orrville - (OH),2935,Orrville,OH,Wayne,10,ST,OP,25.0,23.0,23.0,,1,1971,BIT,NG,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,N,,,,,N,,,Y,,,,NG,,,,City of Orrville,22,40.850964000000005,-81.765764
8247,14194,City of Orrville - (OH),2935,Orrville,OH,Wayne,11,ST,OP,25.0,23.0,23.0,,1,1971,BIT,NG,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,N,,,,,N,,,Y,,,,NG,,,,City of Orrville,22,40.850964000000005,-81.765764
