,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Status,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Unit Code,Operating Month,Operating Year,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Multiple Fuels,Deliver Power to Transmission Grid,Synchronized to Transmission Grid,Ownership,Turbines,Cogenerator,Sector Name,Sector,Topping or Bottoming,Duct Burners,Planned Modifications,Planned Uprates Net Summer Capacity,Planned Uprates Net Winter Capacity,Planned Uprate Month,Planned Uprate Year,Planned Derates Net Summer Capacity,Planned Derates Net Winter Capacity,Planned Derates Month,Planned Derates Year,Planned New Prime Mover,Planned Energy Source 1,Planned Repower Month,Planned Repower Year,Other Modifications,Other Modifications Month,Other Modifications Year,Planned Retirement Month,Planned Retirement Year,Solid Fuel Gasification System,Pulverized Coal Technology,Fluidized Bed Technology,Subcritical Technology,Supercritical Technology,Ultrasupercritical Technology,Carbon Capture Technology,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Transmission or Distribution System Owner,Primary Purpose (NAICS Code),Latitude,Longitude
17989,57030,"Mesquite Solar 1, LLC",57707,Mesquite Solar 1,AZ,Maricopa,1,PV,OP,16.0,16.0,16.0,,11,2011,SUN,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Salt River Project,22,33.341833,-112.904028
17990,57030,"Mesquite Solar 1, LLC",57707,Mesquite Solar 1,AZ,Maricopa,10,PV,OP,12.0,12.0,12.0,,10,2012,SUN,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Salt River Project,22,33.341833,-112.904028
17991,57030,"Mesquite Solar 1, LLC",57707,Mesquite Solar 1,AZ,Maricopa,11,PV,OP,16.0,16.0,16.0,,10,2012,SUN,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Salt River Project,22,33.341833,-112.904028
17992,57030,"Mesquite Solar 1, LLC",57707,Mesquite Solar 1,AZ,Maricopa,12,PV,OP,16.0,16.0,16.0,,12,2012,SUN,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Salt River Project,22,33.341833,-112.904028
17993,57030,"Mesquite Solar 1, LLC",57707,Mesquite Solar 1,AZ,Maricopa,2,PV,OP,16.0,16.0,16.0,,1,2012,SUN,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Salt River Project,22,33.341833,-112.904028
17994,57030,"Mesquite Solar 1, LLC",57707,Mesquite Solar 1,AZ,Maricopa,3,PV,OP,10.0,10.0,10.0,,12,2011,SUN,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Salt River Project,22,33.341833,-112.904028
17995,57030,"Mesquite Solar 1, LLC",57707,Mesquite Solar 1,AZ,Maricopa,4,PV,OP,16.0,16.0,16.0,,5,2012,SUN,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Salt River Project,22,33.341833,-112.904028
17996,57030,"Mesquite Solar 1, LLC",57707,Mesquite Solar 1,AZ,Maricopa,5,PV,OP,16.0,16.0,16.0,,6,2012,SUN,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Salt River Project,22,33.341833,-112.904028
17997,57030,"Mesquite Solar 1, LLC",57707,Mesquite Solar 1,AZ,Maricopa,6,PV,OP,8.0,8.0,8.0,,8,2012,SUN,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Salt River Project,22,33.341833,-112.904028
17998,57030,"Mesquite Solar 1, LLC",57707,Mesquite Solar 1,AZ,Maricopa,7,PV,OP,16.0,16.0,16.0,,9,2012,SUN,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Salt River Project,22,33.341833,-112.904028
