,Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Status,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Unit Code,Operating Month,Operating Year,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Multiple Fuels,Deliver Power to Transmission Grid,Synchronized to Transmission Grid,Ownership,Turbines,Cogenerator,Sector Name,Sector,Topping or Bottoming,Duct Burners,Planned Modifications,Planned Uprates Net Summer Capacity,Planned Uprates Net Winter Capacity,Planned Uprate Month,Planned Uprate Year,Planned Derates Net Summer Capacity,Planned Derates Net Winter Capacity,Planned Derates Month,Planned Derates Year,Planned New Prime Mover,Planned Energy Source 1,Planned Repower Month,Planned Repower Year,Other Modifications,Other Modifications Month,Other Modifications Year,Planned Retirement Month,Planned Retirement Year,Solid Fuel Gasification System,Pulverized Coal Technology,Fluidized Bed Technology,Subcritical Technology,Supercritical Technology,Ultrasupercritical Technology,Carbon Capture Technology,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Transmission or Distribution System Owner,Primary Purpose (NAICS Code),Latitude,Longitude
4465,7140,Georgia Power Co,6051,Edwin I Hatch,GA,Appling,1,ST,OP,857.1,876.0,876.0,,12,1975,NUC,,,,,,N,Y,,J,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Georgia Power Co,22,31.9342,-82.3447
4466,7140,Georgia Power Co,6051,Edwin I Hatch,GA,Appling,2,ST,OP,864.7,883.0,883.0,,9,1979,NUC,,,,,,N,Y,,J,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Georgia Power Co,22,31.9342,-82.3447
5535,9324,Indiana Michigan Power Co,6000,Donald C Cook,MI,Berrien,1,ST,OP,"1,152.0","1,009.0","1,084.0",,8,1975,NUC,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Indiana Michigan Power Co,22,41.975604,-86.565206
5536,9324,Indiana Michigan Power Co,6000,Donald C Cook,MI,Berrien,2,ST,OP,"1,133.3","1,060.0","1,107.0",,7,1978,NUC,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Indiana Michigan Power Co,22,41.975604,-86.565206
6403,11241,Entergy Louisiana Inc,4270,Waterford 3,LA,St Charles,3,ST,OP,"1,199.8","1,159.0","1,180.0",,9,1985,NUC,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,Entergy Louisiana Inc,22,29.995267,-90.471581
7087,12465,"System Energy Resources, Inc",6072,Grand Gulf,MS,Claiborne,1,ST,OP,"1,440.0","1,190.0","1,463.0",,7,1985,NUC,,,,,,N,Y,,J,,N,Electric Utility,1,,N,Y,229.0,,5.0,2013.0,,,,,,,,,,,,,,N,,,,,,,,,,,Entergy Mississippi Inc,22,32.0081,-91.0478
7509,13337,Nebraska Public Power District,8036,Cooper,NE,Nemaha,1,ST,OP,801.0,766.0,766.0,,3,1974,NUC,,,,,,N,Y,,S,,N,Electric Utility,1,,N,N,,,,,,,,,,,,,N,,,,,N,,,,,,,,,,,Nebraska Public Power District,22,40.3628,-95.6408
7675,13606,Nine Mile Point Nuclear Sta LLC,2589,Nine Mile Point Nuclear Station,NY,Oswego,1,ST,OP,641.8,629.7,630.0,,12,1969,NUC,,,,,,N,Y,,S,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,National Grid,22,43.5211,-76.41
7676,13606,Nine Mile Point Nuclear Sta LLC,2589,Nine Mile Point Nuclear Station,NY,Oswego,2,ST,OP,"1,259.3","1,143.5","1,155.0",,7,1987,NUC,,,,,,N,Y,,J,,N,IPP Non-CHP,2,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,National Grid,22,43.5211,-76.41
7818,13781,Northern States Power Co - Minnesota,1922,Monticello,MN,Wright,1,ST,OP,685.0,554.0,581.0,,6,1971,NUC,,,,,,N,Y,,S,,N,Electric Utility,1,,,Y,60.0,60.0,8.0,2013.0,,,,,,,,,N,,,,,N,,,,,,,,,,,Northern States Power Co,22,45.3338,-93.8493
